Project;Risk;Stakeholder;idx
Identifying and comparing the topical coverage of IOMSearch in practitioner journals versus academic journals (17 topical areas).,Reviewing articles published in 24 reputable journals serves as outlets for Operations Management (OM) research (587 articles).,Providing an understanding of what constitutes IOM research,6956
new products| consumption| decision-making| purchase intention,enjoyment| interest| uncertainty| risk| mental state,consumer| purchaser| buyer,6957
optimization of mix design for concrete in coastal structures| major coast protection scheme in the UK,abrasive wear of concrete| coarse or gravel sediments,design codes| concrete specification,6958
Preparation of a data set describing land-surface conditions 6000 years B.P. on a 1 degrees x 1 degrees grid across northern Africa and the Arabian Peninsula.,Orbitally forced variations in monsoon strength,Publishers of palaeoenvironmental data| including information on the percentage of each grid cell occupied by specific veget,6959
Eco-efficient recycling route: a new method for recovering resources and energy from post-consumer waste glass through integrated waste management and industrial production.,"Waste glass: rejected waste glass from conventional container glass recycling and waste special glass such as monitor glass, bulbs, and glass fibers.",Industrial symbiosis,6960
None,None,None,6961
None,None,None,6962
Building Information Modelling (BIM),Awareness| technical skills| and education among professional specializations in the construction industry.,Education sector| construction industry professionals| and researchers.,6963
None,Ignoring the system context in which emissions occur| leading to incomplete assessment of comprehensive mitigation strategies.,Shareholders and stakeholders who require detailed information on the company's environmental impact and performance.,6964
None,None,None,6965
Development of river systems| management of water resources| restoration efforts,Climate change| water scarcity| environmental damage,Public| private water owners| government agencies| international organizations,6966
Salt marsh restoration projects,Sediment dynamics| erosion,Plant cover,6967
Implementation of the 2016 Summer Olympics in Rio de Janeiro| sports mega-events in Rio de Janeiro| and the legacy and impact of mega-events in Brazil.,Social and spatial repercussions| government Internet sites| surveys| maps| interviews| public meetings| and political and economic conditions.,Social actors| politicians| government|,6968
None,None,None,6969
"""product-service innovation projects""","""not yet supported by clear theories and methodologies""","""students in 19 projects of 5 types|"" ""design participants|"" ""jury members""",6970
evaluation of engineering properties| rock-slope stability hazards| and potential for ground-water contamination of the Lower to Upper Middle Devonian shales on US Route 250 W at Bullpasture Mountain in Highland County| Virginia.,failure| rapid weathering| road cuts,ASTM standards| rock mass strength| discontinuities| slope design,6971
None,None,None,6972
Developing and presenting a master's module in Ethical and Legal Issues in Cyber Security at Queens University Belfast.,Negative press| fines| and punitive legal action due to organizational unawareness of ethical issues.,Organizations and individuals involved in cyber security| including those who may be impacted by ethical and legal issues.,6973
